OCC_ID,OCC_str,template
8_749_75000,"Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Textile workers, specialisation unknown","Occupation: Plant and machine operators and assemblers_Chemical processers and related workers not elsewhere classified_Textile workers, specialisation unknown"
8_983_98320,Plant and machine operators and assemblers_Railway engine drivers and firemen_Railway/railroad engineers and enginemen,Occupation: Plant and machine operators and assemblers_Railway engine drivers and firemen_Railway/railroad engineers and enginemen
2_139_13920,Professionals_Teachers not elsewhere classified_Governesses,Occupation: Professionals_Teachers not elsewhere classified_Governesses
3_141_14130,Technicians and associate professionals_Ministers of religion and related members of religious orders_Missionaries,Occupation: Technicians and associate professionals_Ministers of religion and related members of religious orders_Missionaries
4_360_36020,Clerks_Transport conductors_Railway guards (UK) and railroad conductors (US/CAN),Occupation: Clerks_Transport conductors_Railway guards (UK) and railroad conductors (US/CAN)
9_971_97150,Elementary occupations_Dockers and freight handlers_Packers,Occupation: Elementary occupations_Dockers and freight handlers_Packers
5_510_51040,Service workers and shop and market sales_Working proprietors (catering and lodging services)_Boarding and lodging house keepers and managers,Occupation: Service workers and shop and market sales_Working proprietors (catering and lodging services)_Boarding and lodging house keepers and managers
7_873_87340,"Crafts and related trades workers_Sheetmetal workers_Tinsmith, tinner or tinker","Occupation: Crafts and related trades workers_Sheetmetal workers_Tinsmith, tinner or tinker"
1_219_22120,"Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers, manufacturing","Occupation: Legislators, senior officials and managers_Managers not elsewhere classified_Superintendents and managers, manufacturing"
2_110_11020,Professionals_Accountants_Auditors,Occupation: Professionals_Accountants_Auditors
8_851_85100,Plant and machine operators and assemblers_Electrical fitters_Electrical fitters and electrical equipment assemblers,Occupation: Plant and machine operators and assemblers_Electrical fitters_Electrical fitters and electrical equipment assemblers
4_380_38030,Clerks_Telephone and telegraph operators_Telegraph operator,Occupation: Clerks_Telephone and telegraph operators_Telegraph operator
5_441_44190,"Service workers and shop and market sales_Insurance, real estate and securities salesmen_Insurance, real estate and securities salesmen nec","Occupation: Service workers and shop and market sales_Insurance, real estate and securities salesmen_Insurance, real estate and securities salesmen nec"
